Dimensions,Weight (lbs),FedEx Ground or FedEx Home Delivery,FedEx Standard Overnight,UPS Ground,UPS 3 Day Select,UPS 2nd Day Air,UPS Next Day Air Savar,UPS Next Day Air,USPS Priority,USPS Priority Express
30x14x7,34,29.7,224.45,34.22,46.14,65.17,129.74,136.17,77.58,212.25
30x14x10,34,29.7,224.45,34.22,46.14,65.17,129.74,136.17,102.58,237.25
30x15x15,34,33.6,256.2,39.27,53.6,76.02,150.5,157.9,111.36,278.48
30x17x16,34,37.43,287.77,44.67,63.2,89.97,177.2,185.93,120.92,329.68
30x17x17,34,37.98,327.72,44.71,66.39,94.62,186.1,195.28,123.87,346.63
30x18x16,34,37.98,327.72,44.71,66.39,94.62,186.1,195.28,123.87,346.63
30x18x18,34,39.16,346.44,47.42,72.79,103.92,203.9,213.96,128.95,383.55
30x20x4,34,29.7,224.45,34.22,46.14,65.17,129.74,136.17,77.58,212.25
30x20x6,34,29.7,224.45,34.22,46.14,65.17,129.74,136.17,102.58,237.25
30x20x8,34,29.7,224.45,34.22,46.14,65.17,129.74,136.17,102.58,237.25
30x20x10,34,31.21,239.36,36.63,49.33,69.83,138.64,145.44,106.45,253.88
30x20x12,34,35.26,274.87,41.72,56.8,80.67,159.4,167.24,114.61,295.52
30x20x18,34,72.53,420.55,61.8,92.0,126.52,236.41,247.52,136.28,423.57
30x20x20,34,75.14,454.29,65.02,99.67,138.23,257.94,270.12,0.0,0.0
30x24x6,34,29.7,224.45,34.22,46.14,65.17,129.74,136.17,102.58,237.25
30x24x10,34,35.26,274.87,41.72,56.8,80.67,159.4,167.24,114.61,295.52
30x24x12,34,37.98,327.72,44.71,66.39,94.62,186.1,195.28,123.87,346.63
30x24x20,34,80.94,509.19,73.79,115.54,163.9,303.01,317.45,0.0,0.0
